Gender,Ethnicity,Child's First Name,Count
MALE,HISPANIC,Luis,88
MALE,WHITE NON HISPANIC,Yehuda,88
MALE,HISPANIC,Jonathan,87
FEMALE,WHITE NON HISPANIC,Malky,87
FEMALE,HISPANIC,Melanie,87
MALE,WHITE NON HISPANIC,Menachem,87
FEMALE,HISPANIC,Brianna,86
FEMALE,WHITE NON HISPANIC,Gitty,86
FEMALE,HISPANIC,Alexa,85
MALE,WHITE NON HISPANIC,Julian,85
MALE,WHITE NON HISPANIC,Luca,85
FEMALE,WHITE NON HISPANIC,Grace,84
MALE,WHITE NON HISPANIC,Sebastian,84
MALE,HISPANIC,Benjamin,83
MALE,HISPANIC,James,83
MALE,HISPANIC,Nathan,83
MALE,HISPANIC,Samuel,83
FEMALE,HISPANIC,Zoe,83
FEMALE,WHITE NON HISPANIC,Abigail,82
MALE,HISPANIC,Jeremiah,82
MALE,ASIAN AND PACIFIC ISLANDER,Daniel,81
FEMALE,HISPANIC,Hailey,81
FEMALE,WHITE NON HISPANIC,Isabella,81
FEMALE,HISPANIC,Kimberly,81
FEMALE,WHITE NON HISPANIC,Zoe,81
FEMALE,WHITE NON HISPANIC,Anna,80
MALE,BLACK NON HISPANIC,Carter,80
MALE,HISPANIC,John,80
MALE,WHITE NON HISPANIC,Zachary,80
MALE,HISPANIC,Jeremy,79
FEMALE,WHITE NON HISPANIC,Lily,79
FEMALE,WHITE NON HISPANIC,Madison,79
FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,79
FEMALE,HISPANIC,Samantha,79
MALE,HISPANIC,Carlos,78
MALE,HISPANIC,Nicholas,78
MALE,ASIAN AND PACIFIC ISLANDER,Evan,77
MALE,WHITE NON HISPANIC,Jackson,77
MALE,HISPANIC,Christian,76
MALE,WHITE NON HISPANIC,George,76
FEMALE,WHITE NON HISPANIC,Hannah,76
MALE,ASIAN AND PACIFIC ISLANDER,Jason,76
MALE,ASIAN AND PACIFIC ISLANDER,Liam,76
FEMALE,WHITE NON HISPANIC,Victoria,76
MALE,HISPANIC,Andrew,75
FEMALE,HISPANIC,Chloe,75
FEMALE,WHITE NON HISPANIC,Gabriella,75
MALE,BLACK NON HISPANIC,Jayden,75
MALE,HISPANIC,Ayden,74
